name,country,primary_fuel,commissioning_year,extracted_gdp
Koman,ALB,Hydro,1985,1897050133.42015
Annaba,DZA,Gas,2010,161207306304.794
Arbaa,DZA,Gas,2010,161207306304.794
Boufarik 1,DZA,Gas,1980,42345829090.2411
Boufarik 2,DZA,Gas,2016,160034212613.438
Boutelilis,DZA,Gas,2016,160034212613.438
Hadjret Ennous,DZA,Gas,2009,137211004291.274
Hassi Messaoud Mobile,DZA,Gas,2013,209755003250.664
Hassi Messoud,DZA,Gas,2015,165979224316.667
Hassi Messoud Nord 2,DZA,Gas,1988,59089400190.4837
Koudiet Eddraouch,DZA,Gas,2013,209755003250.664
Labreg,DZA,Gas,2015,165979224316.667
Ravin Blanc,DZA,Gas,1974,13209871629.0641
Relizane,DZA,Gas,2010,161207306304.794
SKB IPP,DZA,Gas,2007,134977082623.78
SKS IPP SNC Lavalin,DZA,Gas,2006,117027280692.356
SPP1 Thermal,DZA,Gas,2011,200013097903.17
Skikda,DZA,Gas,1975,15557901444.8724
Terga,DZA,Gas,2013,209755003250.664
Tilghemt 1,DZA,Gas,1980,42345829090.2411
Tilghemt 2,DZA,Gas,2016,160034212613.438
AGUA DEL CAJON (AUTOGENERADOR DEL MEM),ARG,Other,1997,292859000000.0
AGUA DEL CAJON (GENERADOR DEL MEM),ARG,Gas,1993,236741715015.015
AGUA DEL TORO,ARG,Hydro,1982,84307486836.724
ALICURA,ARG,Hydro,1987,108810885301.253
ALTO VALLE,ARG,Gas,1969,31256284543.6155
ALVAREZ CONDARCO,ARG,Hydro,2003,127586973492.177
ARROYITO,ARG,Hydro,1977,56781000101.0848
ATUCHA I,ARG,Nuclear,1974,72436777342.4554
ATUCHA II,ARG,Nuclear,2014,526319673731.638
BENJAMIN REOLIN,ARG,Hydro,1966,28630474727.9023
CABRA CORRAL,ARG,Hydro,1978,89049453088.3282
CACHEUTA (NUEVA),ARG,Hydro,2002,97724004251.8602
CASA DE PIEDRA,ARG,Hydro,1996,272149750000.0
CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG,Coal,1990,141352630146.731
CENTRAL LOMA DE LA LATA SA,ARG,Gas,1999,283523000000.0
CENTRAL T.GENELBA,ARG,Gas,1997,292859000000.0
CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),ARG,Gas,2013,552025140252.246
CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG,Gas,1999,283523000000.0
CENTRAL TERMICA GÜEMES SA,ARG,Coal,1993,236741715015.015
CENTRAL TERMICA PIQUIRENDA SA,ARG,Oil,2010,423627422092.49
CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG,Gas,2008,361558037110.419
CENTRAL TERMOELECTRICA TIMBUES,ARG,Gas,2008,361558037110.419
CH LOS CARACOLES,ARG,Hydro,2009,332976484577.619
COMODORO RIVADAVIA,ARG,Gas,1990,141352630146.731
COSTANERA,ARG,Coal,1983,103979106777.911
CRUZ DE PIEDRA,ARG,Gas,1969,31256284543.6155
CT INDEPENDENCIA,ARG,Gas,1995,258031750000.0
CT PLUSPETROL NORTE,ARG,Gas,2002,97724004251.8602
CT ROCA,ARG,Gas,1995,258031750000.0
CT SAN MIGUEL DE TUCUMAN,ARG,Gas,1999,283523000000.0
CT TUCUMAN,ARG,Gas,1998,298948250000.0
CUESTA DEL VIENTO,ARG,Hydro,1997,292859000000.0
DEAN FUNES,ARG,Gas,1967,24256667553.2569
DIQUE,ARG,Gas,1969,31256284543.6155
DOCK SUD,ARG,Gas,1999,283523000000.0
EL CADILLAL,ARG,Hydro,1966,28630474727.9023
EL CARRIZAL,ARG,Hydro,1971,33293199095.4881
EL CHOCON,ARG,Hydro,1975,52438647921.9226
EL TIGRE,ARG,Hydro,1989,76629728760.123
EL TUNAL,ARG,Hydro,1972,34733000536.2862
EMBALSE,ARG,Nuclear,1984,116915052107.031
FLORENTINO AMEGHINO,ARG,Hydro,1963,18272123664.4715
FUTALEUFU,ARG,Hydro,1978,89049453088.3282
GENERACION FRIAS SA,ARG,Gas,2015,594749285413.212
GUILLERMO CESPEDES,ARG,Hydro,1963,18272123664.4715
H. PICHI PICUN LEUFU,ARG,Hydro,1999,283523000000.0
LA PLATA COGENERACION,ARG,Gas,1997,292859000000.0
LA TABLADA,ARG,Gas,1969,31256284543.6155
LOS CORONELES (EX 25  DE MAYO),ARG,Hydro,1970,31584210365.5447
LOS QUIROGA,ARG,Hydro,1963,18272123664.4715
LOS REYUNOS,ARG,Hydro,1983,103979106777.911
LUJAN DE CUYO,ARG,Gas,1988,126890235049.092
MODESTO MARANZANA,ARG,Gas,2003,127586973492.177
NECOCHEA,ARG,Coal,1968,26436857247.4982
NIHUIL II,ARG,Hydro,1968,26436857247.4982
NIHUIL III,ARG,Hydro,1972,34733000536.2862
NIHUIL IV,ARG,Hydro,1965,28344705966.6389
NUEVO PUERTO,ARG,Gas,1988,126890235049.092
PARANA,ARG,Other,2001,268696750000.0
PATAGONIA,ARG,Gas,2001,268696750000.0
PIEDRA DEL AGUILA (CPSA),ARG,Hydro,1993,236741715015.015
PIEDRAS MORAS,ARG,Hydro,1995,258031750000.0
PILAR  BICENTENARIO,ARG,Gas,2010,423627422092.49
